weak,strong,rule,failures,ler,escalation,silent,unconverged,catch,harm,worse,better,p,cost_us,breakeven,saving,ler_low,ler_high
BP-ps-30,OSD-0,flag>=4,7,0.00035,0.79865,0,0,0,0,0,0,1.0,1075947.6496348535,0.07373271889400893,0.1105094050954939,0.00016955101329104707,0.0007223576688892798
BP-ps-30,OSD-0,rounds>=2,7,0.00035,0.8729,0,0,0,0,0,0,1.0,817221.8839518944,0.14629475437135717,0.3243991192582232,0.00016955101329104707,0.0007223576688892798
BP-ps-30,OSD-0,rounds>=3,7,0.00035,0.81355,0,0,0,0,0,0,1.0,1018820.6005502342,0.10416666666666655,0.15773658468240204,0.00016955101329104707,0.0007223576688892798
BP-ps-30,OSD-0,flag-only,651,0.03255,0.89255,0,644,0,0,644,0,2.739761686260504e-194,623743.1243321435,0.12044143185255721,0.48434885013403595,0.030178959324477065,0.03510058178126735
BP-ps-30,OSD-CS4,primary_fail,3,0.00015,0.78505,0,0,0,0,0,0,1.0,6093936.3363743555,nan,0.0,5.101389475340828e-05,0.0004409716046718622
BP-ps-30,OSD-CS4,flag>=1,3,0.00015,0.95345,0,0,0,0,0,0,1.0,6205596.864934683,0.1886729034787967,-0.018323218753342196,5.101389475340828e-05,0.0004409716046718622
BP-ps-30,OSD-CS4,flag>=2,3,0.00015,0.88335,0,0,0,0,0,0,1.0,6092935.934508144,0.15074375095844186,0.00016416349154158016,5.101389475340828e-05,0.0004409716046718622
BP-ps-30,OSD-CS4,flag>=3,3,0.00015,0.82735,0,0,0,0,0,0,1.0,6022367.649709316,0.11152122330609017,0.011744245872384651,5.101389475340828e-05,0.0004409716046718622
BP-ps-30,OSD-CS4,flag>=4,3,0.00015,0.79865,0,0,0,0,0,0,1.0,6025741.161068935,0.07373271889400893,0.011190660935915475,5.101389475340828e-05,0.0004409716046718622
BP-ps-30,OSD-CS4,rounds>=2,3,0.00015,0.8729,0,0,0,0,0,0,1.0,6078873.682846474,0.14629475437135717,0.0024717444844267744,5.101389475340828e-05,0.0004409716046718622
BP-ps-30,OSD-CS4,rounds>=3,3,0.00015,0.81355,0,0,0,0,0,0,1.0,6031160.706266299,0.10416666666666655,0.010301326867061644,5.101389475340828e-05,0.0004409716046718622
BP-ps-30,OSD-CS4,flag-only,647,0.03235,0.89255,0,644,0,0,644,0,2.739761686260504e-194,5795953.810629702,0.12044143185255721,0.048898201309720446,0.029986304753973524,0.03489331316901583
BP-ps-30,LSD-0,primary_fail,7,0.00035,0.78505,0,0,0,0,0,0,1.0,1108427.0628532127,nan,0.0,0.00016955101329104707,0.0007223576688892798
